content,class
"""@theJagmeetSingh 🤣🤣🤣 your brother is a lobbyist paid by Metro!""",0
"""RT @PeterPaulGuy: 🇮🇪🚨  Foreign wealth from billionaires such as George Soros - Open Society Foundation are funding the unelected and unacco…""",0
"""@AriMelber Stop saying Musk received government subsidies. He received government welfare which is tax payer money. Before he cuts the budget he needs to return those subsidies since he’s so rich and shouldn’t need it.""",0
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""RT @CitizenBangla24: Tulip Siddiq benefited from her aunt Sheikh Hasina's regime, she also worked “for the Awami League, as part of its UK…""",1
"""RT @SunshineCityCo1: The fact that @fordnation and his gang of dummies are just reintroducing policies and schemes that they cut years ago,…""",1
"""RT @dirtybird12345: Here we have it, @NHS lobbying MP's in favour of PA'S. You couldn't make this up. Then again they are paying @gmcuk's l…""",0
"""@steve_ravet For instance - poor climate models?  Oil lobbyist lie!   https://t.co/78sPlZvBEX""",0
"""The snail moved, glittering with flecks of gold as the sun suddenly emerged from clouds and shone down on them. Cop felt warmth trickle like warm butter through his body as he raised himself on one elbow. “Well, look at you,” he smiled at V.""",1
"""RT @MintPressNews: David Lammy, the UK's Shadow Secretary of State for Foreign, Commonwealth, and Development Affairs, received £70,000 fro…""",0
"""RT @PoliticsJOE_UK: How can Labour fix the economy? Tax the rich. https://t.co/zOC8Emmmdo""",1
"""@Definingf8 @mikalskuterud Publicly traded for-profit pipeline infrastructure companies who were lobbying the government for the right to build the pipelines disagree with you, but I guess you’d know the business better than they would.""",0
"""@MrNotElonMusk Elon, Who would say no? Maybe one would say no, my, all the tax I would have to pay. Or I would get thousands of calls to invest in fantastic get rich quick schemes.    Of course, I would graciously accept the money, but a better plan would be for you to offer me a job and pay me… https://t.co/lTz6a1WciM""",0
"""RT @NatureAdt: If we’ve learned anything these past few years, it's that:  1) Workers keep America going, not billionaires 2) Corporate pro…""",0
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""",0
"""RT @MintPressNews: David Lammy, the UK's Shadow Secretary of State for Foreign, Commonwealth, and Development Affairs, received £70,000 fro…""",0
"""@steve_ravet But you aren't.  There are no arguments against AGW.   You are reading oil lobbyist propaganda and you can't distinguish between that and actual science""",0
"""RT @PatMillsUK: Hard agree @EdwardJDavey.  The spectre of extreme wealth looms large over all of us. How many more nudges do our politician…""",0
"""@namexnotblank @KosSamaras Tax the useless rich""",1
"""Lmfao They are literally still increasing the prices while killing forms of self employment, employment AND entrepreneurship. Tik Tok creators are cooked, AI throws out 90% of job applications/resumes and all the monopolies/lobbyist are trying to eradicate small business. https://t.co/Zq5TKnsl0j""",0
"""@theJagmeetSingh Hey Jughead,  Your own brother is a lobbyist for the greedy CEO of Metro 1, so tell me this "" What is the difference between him and you?""  Nothing You are doing the same exact thing!  The biggest item that is really different is that you hold 41 million Canadaian's hostage!""",0
"""RT @ManiteeJesus: @JoshuaSchriver Look into AIPAC's involvement in our state politics please! They should be registered under foreign  gove…""",0
"""RT @AndrewW43599783: As we learn an investigation has revealed Loblaw, Sobeys, and Walmart overcharging customers by selling underweighted…""",1
"""RT @INCKerala: Now 16 ultra rich people bought this car in 2024, and together received a tax subsidy of 71.6 Cr at the least, if you don't…""",0
"""RT @PeterPaulGuy: 🇮🇪🚨  Foreign wealth from billionaires such as George Soros - Open Society Foundation are funding the unelected and unacco…""",0
"""@SarahEMcBride @ChrisCoons @SenatorLBR Sir your quest for pork is a problem.  The citizens of Delaware should pay lower federal taxes and the issues of Delaware should be addressed by the people of Delaware and should not involve a man lobbying for pork from the federal government.""",0
"""@salubrious55 @JimThom90458694 @MRobertsQLD @PaulineHansonOz You’re obviously brainwashed by the mining industry.  They hardly pay any tax, while lobbying the government and having one on ones with politicians (who knows what goes on between them) or if there are any, under the table deals. People like you allow yourself to be divided and… https://t.co/SmwGy5Bglx""",0
"""RT @rationalaussie: People on a 45% marginal rate of income tax are supposed to be rich.  But they earn like $200k, which is still a 'worki…""",0
"""Everyone tells you they are there to listen only a call away but the way the tears trickle down my face onto my tired hands knowing I’ll never be able to actually call and ask for the help I need so I sit and pretend it’s all ok and you sit there and pretend you don’t notice""",0
"""RT @hoddo461: @lesstenny Yes, well maybe not great but certainly good. FDRs (socialist) ""New Deal"" led the US out of depression and to pros…""",1
"""RT @zei_squirrel: Elon Musk regurgitates the most deranged neoliberal banalities straight out of Bill Clinton, George ""trickle down economi…""",1
"""RT @PeterPaulGuy: 🇮🇪🚨  Foreign wealth from billionaires such as George Soros - Open Society Foundation are funding the unelected and unacco…""",0
"""RT @CarolinaConect: One day y’all gone learn that your tax bracket is more important than your political party lol. Them rich dudes fool y’…""",0
"""@elonmusk  Most people don’t comprehend the true evil of this grifter. Let me sum it up in simple terms: Musk got rich off tax cuts and gov’t subsidies. DOGE is a scam to increase his wealth. He doesn’t give a damn about America. He’s a lying blowhard.""",0
"""@HawleyMO How are you paying for the tax cuts for the rich that you propose?""",1
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""@ProjectPearson @QwertyDee_ All about oil. Alberta boy. Harper Alberta boy. Smith will be out next election. All she cares about is oil. No promises kept. Just distractions. Wants to be American as does the UCP MLAs. Most corrupt government in Alberta history. Former oil lobbyist. Lowest rating of Premiers.""",1
"""RT @mmpadellan: REMINDER: It was never really about Blue vs Red, Democrats vs Republicans, Black vs White...  It was ALWAYS about ultra-wea…""",0
"""RT @andyg_live: Why are conservatives blaming the fire department anyway ? It's a bloody socialist service paid by the tax payers and Karen…""",1
"""RT @AmandeepBhogal: Stole the winter fuel allowance, freezing our pensioners. Slapped 20%VAT on independent schools. Attacked our farmers w…""",0
"""RT @DickWinchester: @StephenFlynnSNP Now just imagine what it would have been like if everyone was forced into having a heat pump and a  ba…""",0
"""Capitalist lap dogs after I trickle my piss down my balls https://t.co/Jdsol9hrwJ""",1
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""But it’s not that simple.  Rich people will probably move elsewhere to pay their taxes so others will still end up paying more tax.  Taxing the rich may not be the win you think it is. https://t.co/M5Q1eQae9l""",0
"""RT @ChrisMurphyCT: Feels pretty simple to me. He talks about invading Greenland and Panama to distract you and the media from the THEFT tha…""",0
"""And I’m urging the Senate to revoke those doctors’ medical licenses because they are lobbying on behalf of Big Pharma. https://t.co/UcAiI25CAn""",1
"""Tax The Rich Tax The Superrich Tax Billionaires The rest is bullshit.  #TaxTheRich #TaxTheSuperrich  #TaxTheUltrarich #TaxBillionaires #Trump #MAGA #DOGE  #Bitcoin #Dogecoin #ElonMusk #Musk #Weidel  #MuskWeidel #H1B #AfD #Lobbycratie #BigMoney #Crypto #Oligarchy @Banxcartoons https://t.co/3d40CZVKrm""",0
"""RT @SerbEagleAI: 🚨BREAKING: The Wall Street Journal @WSJ claim that the 🇺🇸#US government had in February 2024 removed the 🇬🇱 #Greenland Lib…""",1
"""@theJagmeetSingh You're only saying this because your brother is a registered lobbyist for Metro.   Now STFU.""",0
"""RT @KEdge23: I think we should cut the foreign aid budget by a few billion, then give the winter fuel allowance back to our pensioners and…""",0
"""@GOP_is_Gutless ""Tax the rich, feed the poor, till there are no rich no more""... Then we all get to starve together!""",0
"""RT @AshleyLeahy: This is the thing from the rich tax avoiders.  They made their wealth thanks to the country they live and work in, but do…""",0
"""RT @SolomonYue: Swamp also refers to lobbyists seeking special treatments for their clients via introduction and passage of legislation in…""",1
"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""",0
"""These elitists will recover, with relative ease. But because of their spending and lobbying to keep incompetent scum like Gavin Newsom in power, countless every-day Americans will lose everything in this fire. https://t.co/CFb5u7uZmz""",0
"""RT @KenRoth: Meta's embrace of Trump seems to reflect a lack of viable new ideas and instead a resort to playing politics. https://t.co/G95…""",1
"""@MattMulher60942 @RepSwalwell Crazy how they already prepared an omnibus bill for Trump to sign, filled with *checks notes* tax cuts for the rich and nothing to lower prices. The sheep got played again. Enjoy losing your legs at the Panama Canal war while Musk replaces you with smarter foreigners. LOL.""",1
"""@BRICSinfo What an absolute waste of tax payer dollars. Politicians in Ukraine and the US getting rich off our tax dollars and this war is going to finish right back where it started from. I hope Trump orders an investigation.""",0
"""@Ausbobsmit @AustralianJA It sure does. Every local council and state government should be protecting their citizens regardless of what PM says. Not like he’s any kind of moral compass.   Does the rot trickle down or rise up?""",0
"""@OIGatHHS More Title IV-D funded lobbying fraud. End illegal misuse of tax dollars for lobbying. End the appearance of illegal taxpayer funded lobbying by the federally and state funded Michigan Friend of the Court #FathersRights #corruption #Michigan  https://t.co/BXuktNjgfe""",0
"""@chandrarsrikant He is telling the truth. That India labour advantage is over. High inflation high medical and education costs need high salaries. We need higher direct tax on the rich. Slobs like Ananth Ambani and jay Shah are the pain points. Not us""",1
"""This moron is celebrating that California mismanaged their state, cut resources for LAFD, didn't do any of the Forest management that @GavinNewsom promised he would in 2019, they hired a DEI Lesbian to head the LAFD, but Biden is a hero for using TAX DOLLARS from American… https://t.co/pXkG8l4IJu https://t.co/UFpjjQdP6X https://t.co/6d5UGQKfzJ""",0
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""",0
"""RT @PeterPaulGuy: 🇮🇪🚨  Foreign wealth from billionaires such as George Soros - Open Society Foundation are funding the unelected and unacco…""",0
"""RT @ResisterChic: @RonFilipkowski Of course they wo t be cutting the deficit. They plan on raising the deficit to give rich and corporation…""",1
"""@theJagmeetSingh Your brother is a lobbyist for Metro, Loblaws competitor and you are just a puppet for billionaires pretending to be an “average guy” while driving a Maserati and wearing $5000 suits""",0
"""RT @ScottJenningsKY: My favorite thing about Dems is that they never update their talking points. Take taxes for instance. I provided a liv…""",1
"""RT @AlamedaCraftHal: TAX THE RICH they're the problem.""",1
"""@AdamKhan123321 @HummusHumorist @Thecryptomist Yeah, and the rich get rich off of White taxes and minority slave labor. Regardless, into the system, minorities get the most benefits while whites pay the most taxes. That is a fact. You are a burden to the White worker. You are paid less and take more from the tax system.""",1
"""@YesYourTechness @rookrothschildV @upholdreality Will Rogers coined the term trickle down economics. The fact you referenced it with your definition of neoliberalism proves my point about you being intellectually stunted and that you regurgitate what revolutionists tell you.""",1
"""Trump and Obama conversing at Jimmy Carter’s funeral. Remember folks the oligarchy is one big club and you aren’t in it! https://t.co/wQrl33E5MU""",0
"""There’s a Sickness at the Heart of Politics &amp; It’s Called Oligarchy @GeorgeMonbiot https://t.co/7iIO9EOGPa""",0
"""The LNP has opposed wage increases for minimum wage earners &amp; just about every legislation Labor has proposed to increase workers' rights.  Why anyone would vote for them is beyond me. https://t.co/lDMTEpAYDZ""",1
"""So long as we are operating on merit I'm cool. Perhaps look up what ""oligarch"" actually means. These 4 people were born in the upper/lower middle class, half of them in different countries. If this isn't the American dream, what is it? (answer in reply) https://t.co/3hCMBUzZCG""",1
"""@Greg66666666666 What utter rubbish. Joining a union is the best thing you can do for workers rights.""",0
"""Wow. Well said @GeorgeMonbiot but other than electing the right people in all arenas, how do we peacefully overthrow the oligarchy? https://t.co/H8G7bLo6Bt""",1
"""They will never get my vote the LNP are only interested in cutting workers rights and penalty rates only reducing items on the PBS and cutting Medicare restricting access to cheap renewable energy and putting anyone receiving government support on an indue card https://t.co/w5ydeM06k0 https://t.co/IqJsv1vlK9""",0
"""Wow. Well said @GeorgeMonbiot but other than electing the right people in all arenas, how do we peacefully overthrow the oligarchy? https://t.co/H8G7bLo6Bt""",1
"""Incredible news from Seattle, WA🚨🚨the dam is breaking!   TransFamilies, one of the largest “trans rights” lobbying orgs in the US, has just announced they are laying off all paid staff.   @Moms4Liberty  @DIAGdemocrats  @WomenAreReals  @realchrisrufo  @BillboardChris https://t.co/nT1MlAoOnI""",0
"""@FRHoffmann1 1.American tech entrepreneurs are not oligarchs. 2. They don't decide what freedom of speech is or isn't. They simply guarantee it""",0
"""@Eleven_twenT2 @roberthedeuce @Dialectiks More importantly, however, is that even if I'm wrong about all of this, then it still has nothing to do with Alex Jones or David Icke. This is the mainstream understanding of dialectics in relation to Hegel and Marx""",1
"""if you see this on your tl can you comment with “free palestine”? 🇵🇸🍉 https://t.co/irytic9f0L""",0
"""Gina wants Australia to be more like Argentina, so @PeterDutton_MP struts as a Caudillo. It’s not an enticing prospect. @AlboMP’s timidity is a problem, but Dutton’s authoritarian populism is no solution. #auspol https://t.co/aZIY2qxyMN""",0
"""Pierre Poilievre is openly begging for US Oligarch Elon Musk’s help and promising to open up Canada and its resources to the US.  Poilievre plans to sellout Canada to Trump and his corporate oligarch cabal. https://t.co/bsJz78fmuR https://t.co/SBDmrrbKcF""",1
"""@caveman0921 @sunderkent @IAmRZero @StevenWillcox2 @AnnieSFW @jawbtl47 This is not the gotcha you think it is, yes researching something is indeed how you learn about it, why are you so incredulous that someone implies that to you 😭""",0
"""A frustrated woman goes off on Free Palestine supporters: “These Free Palestine people startin’ to get on my nerves now. Every time some sort of disaster hit America, they sit up n’ come here and start my Free Palestine… Go home!”  https://t.co/g4L9kc0uo6""",0
"""Now that the sky rains fire on you, do you hear Gaza’s screams?  #LosAngelesFires https://t.co/HhFgHaafqm""",0
"""A frustrated woman goes off on Free Palestine supporters: “These Free Palestine people startin’ to get on my nerves now. Every time some sort of disaster hit America, they sit up n’ come here and start my Free Palestine… Go home!”  https://t.co/g4L9kc0uo6""",0
"""»Free Free Palestine!« Auf der Bühne im großen Saal beginnt die Kundgebung für eine Welt der Solidarität. Unblock Cuba! Free Palestine! #RLK25 #RosaLuxemburgKonferenz https://t.co/aSNuPgDy90""",0
"""Over 60 German and Austrian universities, the German Federal Court of Justice and multiple top German football clubs have announced that they will be withdrawing from Twitter (X), due to US oligarch Elon Musk's ""discussion"" (collaboration) with Germany's neo-Nazi party (AfD)… https://t.co/OvKToXyASe https://t.co/Dpd37Ixxg1""",0
"""Over 60 German and Austrian universities, the German Federal Court of Justice and multiple top German football clubs have announced that they will be withdrawing from Twitter (X), due to US oligarch Elon Musk's ""discussion"" (collaboration) with Germany's neo-Nazi party (AfD)… https://t.co/OvKToXyASe https://t.co/Dpd37Ixxg1""",0
"""@elonmusk @ghost_wales Palestine not like Japan or Germany they are more like Vietnam and Laos Japan and Germany had empire they occupied land while Palestinians fighting for their freedom Palestine🇵🇸 will be free https://t.co/5AT0U8V593""",0
"""@elonmusk @waitbutwhy Palestine not like Japan or Germany they are more like Vietnam and Laos Japan and Germany had empire they occupied land while Palestinians fighting for their freedom Palestine🇵🇸 will be free https://t.co/ZdqnQsEumd""",0
"""The LNP has opposed wage increases for minimum wage earners &amp; just about every legislation Labor has proposed to increase workers' rights.  Why anyone would vote for them is beyond me. https://t.co/lDMTEpAYDZ""",1
"""@elonmusk @MikeBenzCyber Palestine not like Japan or Germany they are more like Vietnam and Laos Japan and Germany had empire they occupied land while Palestinians fighting for their freedom Palestine🇵🇸 will be free https://t.co/5AT0U8V593""",0
"""21-year-old journalist, @AbubakerAbedW delivers a powerful messaged after almost a year and a half of genocide inflicted upon Gaza by the occupation. Free Palestine. https://t.co/KWL51c3Nbk""",0
"""@elonmusk @IanCarrollShow why you are a Zionist? talking about the children?  also Palestine not like Japan or Germany they are more like Vietnam and Laos Japan and Germany had empire they occupied land while Palestinians fighting for their freedom Palestine🇵🇸 will be free https://t.co/5AT0U8V593""",0
"""Over 60 German and Austrian universities, the German Federal Court of Justice and multiple top German football clubs have announced that they will be withdrawing from Twitter (X), due to US oligarch Elon Musk's ""discussion"" (collaboration) with Germany's neo-Nazi party (AfD)… https://t.co/OvKToXyASe https://t.co/Dpd37Ixxg1""",0
"""i love trans people  trans rights are humans rights, friends""",0
"""Nine protests are planned in five Georgian cities tomorrow, as the US sanctioned oligarch Ivanishvili’s regime intensifies repression both in courtrooms and on the streets. Day 45 of nonstop nationwide protests in Georgia 🇬🇪 https://t.co/rMrxTmGEYV""",0
"""Let's fight back against the oligarch sponsored, extreme right wing liars, and wannabe fascists, with the truth. Let's get emotional, in a constructive way.  Let's expose the greedy manipulative oligarchs, and save ourselves. Outrage, is emotional. https://t.co/aebJ67bvJz 24/""",0
"""@MaryKostakidis ‘Our taxation system has gone full oligarch.’   Take careful note.""",1
"""Rest in peace, Saed Nabhan, another Palestinian journalist silenced by Israeli aggression. He was killed by an Israeli sniper while helping evacuate civilians in Nuseirat refugee camp. JOURNALISM is not a crime. FREE Palestine🇵🇸 https://t.co/9FKv2P99xE""",0
"""Rest in peace, Saed Nabhan, another Palestinian journalist silenced by Israeli aggression. He was killed by an Israeli sniper while helping evacuate civilians in Nuseirat refugee camp. JOURNALISM is not a crime. FREE Palestine🇵🇸 https://t.co/9FKv2P99xE""",0
"""A student explains why he and his friends are out in the streets for 45 nights.   🇬🇪 “We cannot live under dictatorship, in oligarchy and in poverty.”  🇬🇪 “They took our country and they are now taking money from our budget.”  🇬🇪 “In Georgia, every sixth child is starving.” https://t.co/g8gwNCgPE0""",0
"""Nobody can see my tweets today, plz comment with 🇵🇸 or even dot.""",0
"""Pierre Poilievre is openly begging for US Oligarch Elon Musk’s help and promising to open up Canada and its resources to the US.  Poilievre plans to sellout Canada to Trump and his corporate oligarch cabal. https://t.co/bsJz78fmuR https://t.co/SBDmrrbKcF""",1
"""By going over Bushra's tweets, it appears she  1. hates the U.S. 2. hates the UK 3. hates Israel 4. hates the West as a whole  Yet still chooses to live in the West. https://t.co/oLR7YoeqvX""",1
"""A frustrated woman goes off on Free Palestine supporters: “These Free Palestine people startin’ to get on my nerves now. Every time some sort of disaster hit America, they sit up n’ come here and start my Free Palestine… Go home!”  https://t.co/g4L9kc0uo6""",0
"""@mshat18 @Crezeh_ @dagas_sa @PopCrave well it does. you don’t know the history behind assassinating oligarchs? go back to high school.""",0
"""@RonFilipkowski The Maniacal Oligarch and the Congressional Masturbator...  coming to a reality near you.""",0
"""Why #AIPAC hates TikTok so much:  “I stand with Israel”: 2 million views  “Free Palestine, Free Gaza” etc: 150 million!  2 million versus 150 million https://t.co/kaOAXBw02F""",0
"""i love trans people  trans rights are humans rights, friends""",0
"""Without trade unions &amp; the workers willing to back them with strike action when needed we wouldn’t have  • a minimum wage • maternity &amp; paternity rights • pension provision • holiday &amp; sickness entitlements   victories which have benefited every single person in this country… https://t.co/ygPMM53dTL https://t.co/l04AtxN0Bo""",0
"""My account is dying ... If you see this post, just comment.  UPD- There is no indication of the recovery of the account in terms of the removal of restrictions and bans https://t.co/z9Aq5k4FX4""",0
"""@PeterMcCormack Gavin Newsom is a Communist Democrat who has worked for foreign Elitist Oligarch Puppet Masters to End USA &amp; enact One World Government/Communist Unelected Rule of 🌎.  He's doing his Communist Handbook actions of destroying California &amp; it's Economy - so Citizens are forced to… https://t.co/JMFSGO7YCx""",0
"""Palestine still not free???  What 2 Billion clowns are even doing???""",0
"""@HPhobiaWatch Protesting for Palestine in conflict free zones , no where near Palestine!""",0
"""BREAKING: Another wall of fames is now raging toward the famous Brentwood area of Los Angeles. A fire that’s been burning for multiple days is still out of control. When are they going to get a handle of this?! https://t.co/lcDTsalFmZ""",0
"""AfD really means Alternative für Russland. They are in cahoots with Putin and his mafia of corrupt and authoritarian plutocrats (the oligarchy tied to the oil and gas industry). https://t.co/eNtTDYdgrU""",0
"""Incredible news from Seattle, WA🚨🚨the dam is breaking!   TransFamilies, one of the largest “trans rights” lobbying orgs in the US, has just announced they are laying off all paid staff.   @Moms4Liberty  @DIAGdemocrats  @WomenAreReals  @realchrisrufo  @BillboardChris https://t.co/nT1MlAoOnI""",0
"""Pierre Poilievre is openly begging for US Oligarch Elon Musk’s help and promising to open up Canada and its resources to the US.  Poilievre plans to sellout Canada to Trump and his corporate oligarch cabal. https://t.co/bsJz78fmuR https://t.co/SBDmrrbKcF""",1
"""Palestine still not free???  What 2 Billion clowns are even doing???""",0
"""Nine protests are planned in five Georgian cities tomorrow, as the US sanctioned oligarch Ivanishvili’s regime intensifies repression both in courtrooms and on the streets. Day 45 of nonstop nationwide protests in Georgia 🇬🇪 https://t.co/rMrxTmGEYV""",0
"""Pierre Poilievre is openly begging for US Oligarch Elon Musk’s help and promising to open up Canada and its resources to the US.  Poilievre plans to sellout Canada to Trump and his corporate oligarch cabal. https://t.co/bsJz78fmuR https://t.co/SBDmrrbKcF""",1
"""You've posted a cartoon showing that what you call 'trans rights' may crush gay rights, women rights, freedom of speech and freedom of belief, and yes, gender identity ideology is absolutely threatening to do that, but I'm astonished you're admitting it. https://t.co/akc4a5Zysr""",0
"""Citizens united started the end free and fair elections. Donald Trump and his oligarchy exploited what was left.""",1
"""@jonharris1989 @RealDavidReece I rewrite it last year, and it is as good as it was when I read a 20 years ago.  I feel presupponsional is better equipped  to address woke ideology than anything else. Woke focuses on epistemology, queer theory does in particular.  And that epistemology …""",1
"""« Nous avons été abandonnés par la communauté internationale et en particulier par les organisations internationales de médias. Nous n'avons qu'un seul droit, mourir et être mutilés. » Abubaker Abed, journaliste à Gaza https://t.co/bcNSDcaDPr""",1
"""Extremely tired of this life, If u see this post support me with a kind word ❤️🥺  comment 🍉🇵🇸 or even a dot . https://t.co/h5FrbUYjPh""",0
"""This is infuriating. Asked about the brutality of forcing incarcerated women to be locked in a cell with sexually abusive men, and the response is that she fought for ""trans women"" and will continue to fight for the rights of the LGBTQ community. They don't give a shit about… https://t.co/jXZLdoN0FT https://t.co/hfhdF8Lg16""",0
"""Incredible news from Seattle, WA🚨🚨the dam is breaking!   TransFamilies, one of the largest “trans rights” lobbying orgs in the US, has just announced they are laying off all paid staff.   @Moms4Liberty  @DIAGdemocrats  @WomenAreReals  @realchrisrufo  @BillboardChris https://t.co/nT1MlAoOnI""",0
"""There’s a Sickness at the Heart of Politics &amp; It’s Called Oligarchy @GeorgeMonbiot https://t.co/7iIO9EOGPa""",0
"""A student explains why he and his friends are out in the streets for 45 nights.   🇬🇪 “We cannot live under dictatorship, in oligarchy and in poverty.”  🇬🇪 “They took our country and they are now taking money from our budget.”  🇬🇪 “In Georgia, every sixth child is starving.” https://t.co/g8gwNCgPE0""",0
"""Despite the suffering inflicted on the Palestinian children, this kind-hearted girl shares a piece of bread with her cat. https://t.co/lZqPCYKMCX""",0
